timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686050350629,505,Acessar Site,200,OK,Usuários Carga 1-1,text,true,,4757,119,203,203,https://www.blazedemo.com/,493,0,0
1686050350843,300,Escolher o Voo,200,OK,Usuários Carga 1-16,text,true,,6719,267,203,203,https://www.blazedemo.com/purchase.php,287,0,0
1686050350660,483,Escolher o Voo,200,OK,Usuários Carga 1-79,text,true,,6719,267,203,203,https://www.blazedemo.com/purchase.php,470,0,0
1686050350680,464,Escolher Origem e Destino,200,OK,Usuários Carga 1-113,text,true,,7245,214,203,203,https://www.blazedemo.com/reserve.php,444,0,0
1686050350985,161,Escolher o Voo,429,Too Many Requests,Usuários Carga 1-108,text,false,,212,267,204,204,https://www.blazedemo.com/purchase.php,161,0,0
1686050350648,502,Escolher Origem e Destino,200,OK,Usuários Carga 1-73,text,true,,7245,214,204,204,https://www.blazedemo.com/reserve.php,482,0,0
1686050350532,618,Acessar Site,200,OK,Usuários Carga 1-153,text,true,,4757,119,204,204,https://www.blazedemo.com/,605,0,163
1686050349408,1744,Escolher Origem e Destino,200,OK,Usuários Carga 1-11,text,true,,7245,214,204,204,https://www.blazedemo.com/reserve.php,1723,0,0
1686050350610,546,Acessar Site,200,OK,Usuários Carga 1-10,text,true,,4757,119,204,204,https://www.blazedemo.com/,533,0,0
1686050350657,501,Escolher Origem e Destino,200,OK,Usuários Carga 1-112,text,true,,7245,214,205,205,https://www.blazedemo.com/reserve.php,480,0,0
1686050351006,158,Confirmar Reserva,429,Too Many Requests,Usuários Carga 1-63,text,false,,212,376,205,205,https://www.blazedemo.com/confirmation.php,158,0,0
